"Date of Download: 2024-07-11_20:12:40"
"Search Parameters: Data Level:all  Trait List:  Trial List:11904  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","162396","CM8996-596","","plot","6981464","202394DVGST_momi_rep1_CM8996-596_598","1","1","598","15","24","test","","0","24.7181726400808","280","19.5054945054945","7.1","5","","11","4","10","4","2","280","40","4","3","1","2","2","31","4175","213","0","4","2","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","230102","CM9912-167","","plot","6981406","202394DVGST_momi_rep1_CM9912-167_202","1","1","202","5","38","test","","1","33.1736842105263","120","15.1098901098901","5.5","5","2","10","4","8","4","4","290","60","3","1","2","3","2","18","3450","334","0","4","1","3","1","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","138538","COL1468","COL14685","plot","6981722","202394DVGST_momi_rep1_COL1468_150","1","1","150","4","15","test","","4","24.2956625864822","85","17.032967032967","6.2","5","2","9","5.9","8","4","4","245","40","4","3","1","2","2","13","3950","192","0","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","54015","COL1505","","plot","6981842","202394DVGST_momi_rep1_COL1505_639","1","1","639","16","18","test","","4","32.5293764988009","40","20.3296703296703","7.4","5","2","10","4.9","8","4","4","205","40","4","3","1","3","2","24","4600","430","0","4","1","2","1","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","242145","COL1516","","plot","6981645","202394DVGST_momi_rep1_COL1516_36","1","1","36","1","36","test","","1","32.484128166915","211","12.3626373626374","4.5","5","3","4","2.05","8","4","3","241","80","4","3","1","3","1","18","3700","345","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","242161","COL1736","","plot","6981346","202394DVGST_momi_rep1_COL1736_315","1","1","315","8","14","test","","2","34.0273509933774","180","18.6813186813187","6.8","5","2","10","5.5","10","4","3","260","40","4","3","1","2","2","19","4200","425","0","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","242024","COL40","COL-40","plot","6981553","202394DVGST_momi_rep1_COL40_181","1","1","181","5","17","test","","3","30.418085106383","80","6.04395604395605","2.2","5","3","5","1.7","8","4","4","230","15","3","3","1","3","2","11","2100","173","1","4","1","2","1","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","61463","CR13-8","","plot","6981614","202394DVGST_momi_rep1_CR13-8_453","1","1","453","12","40","test","","5","32.7930523917995","40","7.96703296703297","2.9","5","2","2","1.25","8","4","4","190","30","4","3","1","4","2","13","2425","230","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2732021","CR24-3","CR243","plot","6981449","202394DVGST_momi_rep1_CR24-3_510","1","1","510","13","18","test","","4","32.2151328740158","20","33.5164835164835","12.2","5","1","10","10.3","8","4","4","165","10","4","3","1","2","3","24","4475","411","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2732022","CR25-4","","plot","6981790","202394DVGST_momi_rep1_CR25-4_84","1","1","84","3","2","test","","4","31.9791741472172","80","18.4065934065934","6.7","5","2","8","5","8","4","4","220","20","4","3","1","2","2","17","2450","222","2","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2732025","CR27-20","","plot","6981558","202394DVGST_momi_rep1_CR27-20_216","1","1","216","6","31","test","","3","33.1455719557196","40","14.8351648351648","5.4","4","2","5","2.15","6","4","5","155","10","4","1","2","3","2","25","3600","348","0","4","2","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","42440","CR52A4","CR52A-4","plot","6981635","202394DVGST_momi_rep1_CR52A-4_654","1","1","654","16","3","test","","5","31.4988250652741","100","24.4505494505495","8.9","5","2","16","8","10","4","3","265","40","4","3","1","2","2","21","4200","370","1","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","221395","CUB46","","plot","6981719","202394DVGST_momi_rep1_CUB46_355","1","1","355","9","27","test","","0","29.830737704918","225","15.1098901098901","5.5","5","1","12","4.7","8","4","2","225","50","4","1","1","3","2","17","2650","210","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","145687","CUB74","","plot","6981361","202394DVGST_momi_rep1_CUB74_319","1","1","319","8","10","test","","0","34.4481412639405","320","12.0879120879121","4.4","5","2","4","2.55","10","4","1","320","70","4","3","1","2","3","12","2400","248","1","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2731422","GM10057-1","","plot","6981655","202394DVGST_momi_rep1_GM10057-1_368","1","1","368","9","40","test","","5","32.9716928966397","95","10.7142857142857","3.9","5","2","2","1.05","10","4","2","235","20","4","3","1","4","1","13","2600","249","1","4","3","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2731423","GM10057-15","","plot","6981841","202394DVGST_momi_rep1_GM10057-15_506","1","1","506","13","14","test","","7","32.3483552631579","30","10.4395604395604","3.8","4","2","4","1.8","6","4","5","155","20","4","3","1","4","2","15","3350","310","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2731333","GM11901-10","","plot","6981786","202394DVGST_momi_rep1_GM11901-10_475","1","1","475","12","18","test","","6","34.6577922077922","30","11.2637362637363","4.1","5","1","6","2.55","8","4","4","205","30","4","3","1","2","2","18","3525","368","3","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2731350","GM11933-1","","plot","6981333","202394DVGST_momi_rep1_GM11933-1_154","1","1","154","4","11","test","","4","33.2043624161074","50","9.89010989010989","3.6","5","1","6","1.55","10","4","4","230","20","4","3","1","3","2","20","3300","320","0","4","1","2","1","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2731351","GM11935-3","","plot","6981534","202394DVGST_momi_rep1_GM11935-3_545","1","1","545","14","30","test","","3","26.86791613723","100","16.8956043956044","6.15","5","1","11","5.4","10","4","2","260","20","4","3","1","3","2","18","4200","265","3","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814344","GM14128B-10","","plot","6981338","202394DVGST_momi_rep1_GM14128B-10_366","1","1","366","9","38","test","","5","35.3202096890817","85","15.9340659340659","5.8","5","2","4","2.9","8","4","4","265","10","4","3","1","3","2","15","3100","334","1","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814131","GM14128B-1","","plot","6981625","202394DVGST_momi_rep1_GM14128B-1_231","1","1","231","6","16","test","","4","40.1014989293362","120","10.7142857142857","3.9","5","3","5","1.3","10","4","4","290","70","4","3","1","4","1","20","2150","282","1","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814346","GM14128B-5","","plot","6981575","202394DVGST_momi_rep1_GM14128B-5_38","1","1","38","1","38","test","","3","27.8976262245667","110","7.96703296703297","2.9","5","3","4","1.5","12","4","4","260","40","3","3","1","3","1","13","2850","196","1","4","1","2","1","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814302","GM14128B-7","","plot","6981738","202394DVGST_momi_rep1_GM14128B-7_357","1","1","357","9","29","test","","4","33.2043624161074","40","17.7197802197802","6.45","5","2","7","4.2","10","4","4","235","10","3","3","2","3","2","18","3300","320","3","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6979827","GM14128B-8","","plot","6981649","202394DVGST_momi_rep1_GM14128B-8_125","1","1","125","4","40","test","","4","34.4918939018344","120","10.3021978021978","3.75","4","3","4","2","8","4","4","300","30","4","3","1","3","2","14","2250","233","2","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6979828","GM14128B-9","","plot","6981823","202394DVGST_momi_rep1_GM14128B-9_252","1","1","252","7","6","test","","2","30.7851722585003","230","32.5549450549451","11.85","5","3","11","9.8","10","4","3","390","90","3","3","1","1","3","18","4850","409","0","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814257","GM14139A-1","","plot","6981779","202394DVGST_momi_rep1_GM14139A-1_561","1","1","561","14","14","test","","0","16.21","225","0.274725274725275","0.1","4","1","0","0","8","4","3","225","120","1","3","1","5","1","0","125","0","0","3","1","5","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814422","GM14139A-2","","plot","6981511","202394DVGST_momi_rep1_GM14139A-2_364","1","1","364","9","36","test","","0","25.5983050847458","270","2.60989010989011","0.95","5","2","1","0.4","10","4","4","270","80","4","3","1","5","2","3","500","28","0","4","3","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814059","GM14139A-3","","plot","6981924","202394DVGST_momi_rep1_GM14139A-3_328","1","1","328","8","1","test","","1","28.2184031710079","190","24.5879120879121","8.95","5","2","6","6.7","8","4","2","220","80","3","3","1","1","2","15","4750","335","5","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6981237","GM14143B-2","","plot","6981442","202394DVGST_momi_rep1_GM14143B-2_108","1","1","108","3","26","test","","4","28.2560367454068","65","5.35714285714286","1.95","5","2","4","0.95","10","4","4","275","30","3","3","1","5","2","12","2050","145","0","4","1","3","1","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6979829","GM14245B-4","","plot","6981482","202394DVGST_momi_rep1_GM14245B-4_303","1","1","303","8","26","test","","6","32.7022429261559","60","10.3021978021978","3.75","4","2","6","2.25","10","4","4","140","10","4","3","1","3","2","16","3200","302","2","4","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814259","GM14270A-1","","plot","6981804","202394DVGST_momi_rep1_GM14270A-1_482","1","1","482","12","11","test","","4","38.4747148288973","40","17.032967032967","6.2","4","1","7","5.3","8","4","4","205","10","3","3","1","2","2","12","3000","370","1","3","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814516","GM14270A-2","","plot","6981429","202394DVGST_momi_rep1_GM14270A-2_143","1","1","143","4","22","test","","0","31.619193934557","290","25.4120879120879","9.25","5","2","14","7.1","10","4","3","290","80","4","3","1","1","3","29","2750","244","1","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6814424","GM14270A-3","","plot","6981865","202394DVGST_momi_rep1_GM14270A-3_633","1","1","633","16","24","test","","3","31.65","195","14.2857142857143","5.2","5","2","14","4.4","8","4","4","270","10","4","3","1","3","2","21","4500","400","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","6979915","GM14270A-4","","plot","6981322","202394DVGST_momi_rep1_GM14270A-4_40","1","1","40","1","40","test","","2","31.6711855104281","160","21.2912087912088","7.75","5","1","12","5.9","8","4","4","220","2","4","3","1","2","3","30","4000","356","0","4","2","2","1","1"," (Operator: lizbethpino, Time: )"
